user_id,signup_date,market,age_band,gender,height_cm,subscription_tier,referral_source,has_complete_demographics
USR_0063,2024-01-02,UAE,35-44,Male,176.9,Premium,paid ad,True
USR_0064,2024-03-24,United Kingdom,,Prefer not to say,163.6,Basic,social media,False
USR_0065,2024-04-01,United Kingdom,18-24,Prefer not to say,181.4,Free,social media,True
USR_0066,2024-02-29,United Kingdom,35-44,Male,173.5,Basic,social media,True
USR_0067,2024-03-11,Nigeria,45-54,Male,172.2,Free,direct,True
USR_0068,2024-02-13,Nigeria,18-24,Female,168.6,Basic,organic search,True
USR_0069,2024-01-08,Nigeria,45-54,Male,176.8,Basic,paid ad,True
USR_0070,2024-02-16,Nigeria,25-34,Male,172.8,Free,paid ad,True
USR_0071,2024-02-04,Nigeria,25-34,Female,158.2,Premium,social media,True
USR_0072,2024-03-18,Nigeria,55+,Female,183.9,Basic,referral,True
USR_0073,2024-03-21,UAE,25-34,Prefer not to say,170.5,Free,referral,True
USR_0074,2024-02-05,United Kingdom,35-44,Male,181.6,Basic,paid ad,True
USR_0075,2024-02-19,Nigeria,,Male,166.8,Premium,direct,False
USR_0076,2024-04-13,Nigeria,18-24,Female,158.5,Free,social media,True
USR_0077,2024-01-04,Nigeria,35-44,Female,174.7,Free,referral,True
USR_0078,2024-01-02,Nigeria,55+,Female,170.4,Free,direct,True
USR_0079,2024-01-06,Nigeria,,Female,164.7,Free,unknown,False
USR_0080,2024-02-23,UAE,45-54,Male,171.3,Premium,social media,True
USR_0081,2024-01-04,Nigeria,35-44,Female,160.6,Basic,referral,True
USR_0082,2024-02-23,UAE,35-44,Male,169.3,Free,referral,True
USR_0083,2024-04-02,UAE,35-44,Male,165.9,Basic,organic search,True
USR_0084,2024-03-03,Nigeria,25-34,Female,167.5,Free,organic search,True
USR_0085,2024-01-18,United Kingdom,55+,Male,177.8,Premium,referral,True
USR_0086,2024-03-30,United Kingdom,55+,Male,179.2,Premium,social media,True
USR_0087,2024-02-13,Nigeria,35-44,Female,160.0,Free,direct,True
USR_0088,2024-02-03,Nigeria,45-54,Male,175.8,Premium,referral,True
USR_0089,2024-03-14,United Kingdom,35-44,,159.4,Basic,paid ad,False
USR_0090,2024-03-02,United Kingdom,25-34,Male,168.9,Free,organic search,True
USR_0091,2024-04-09,UAE,35-44,Female,172.0,Free,paid ad,True
USR_0092,2024-01-14,UAE,,Male,174.9,Basic,paid ad,False
USR_0093,2024-04-04,United Kingdom,35-44,Male,177.6,Basic,paid ad,True
USR_0094,2024-02-17,UAE,45-54,Prefer not to say,173.9,Premium,social media,True
USR_0095,2024-01-15,United Kingdom,25-34,Female,162.8,Basic,social media,True
USR_0096,2024-03-12,United Kingdom,18-24,Female,163.4,Premium,paid ad,True
USR_0097,2024-03-18,United Kingdom,25-34,Male,166.4,Basic,unknown,True
USR_0098,2024-03-27,Nigeria,25-34,Female,156.6,Premium,organic search,True
USR_0099,2024-03-02,United Kingdom,35-44,,156.3,Basic,social media,False
USR_0100,2024-02-09,United Kingdom,35-44,Female,165.6,Free,organic search,True
USR_0101,2024-03-25,Nigeria,35-44,Female,162.4,Basic,organic search,True
USR_0102,2024-03-20,UAE,25-34,Male,167.7,Premium,direct,True
USR_0103,2024-03-22,Nigeria,35-44,Male,178.1,Free,paid ad,True
USR_0104,2024-02-22,United Kingdom,25-34,Female,165.3,Premium,organic search,True
USR_0105,2024-01-24,United Kingdom,25-34,Male,169.1,Free,social media,True
USR_0106,2024-01-26,United Kingdom,35-44,Male,173.8,Basic,direct,True
USR_0107,2024-03-29,Nigeria,45-54,Prefer not to say,171.8,Premium,direct,True
USR_0108,2024-02-29,UAE,25-34,Female,156.8,Free,referral,True
USR_0109,2024-02-10,United Kingdom,18-24,Female,165.4,Free,organic search,True
USR_0110,2024-01-29,Nigeria,25-34,Female,163.8,Free,referral,True
USR_0111,2024-01-15,Nigeria,18-24,Female,156.0,Premium,referral,True
USR_0112,2024-02-14,United Kingdom,35-44,Male,175.5,Free,paid ad,True
USR_0113,2024-03-05,Nigeria,25-34,Male,176.6,Premium,social media,True
USR_0114,2024-03-29,Nigeria,35-44,Male,169.6,Free,paid ad,True
USR_0115,2024-03-11,United Kingdom,25-34,Male,170.2,Premium,organic search,True
USR_0116,2024-01-09,Nigeria,18-24,Female,155.9,Premium,social media,True
USR_0117,2024-03-28,United Kingdom,25-34,Male,170.9,Basic,social media,True
USR_0118,2024-01-01,Nigeria,25-34,Male,173.9,Basic,organic search,True
USR_0119,2024-01-08,United Kingdom,25-34,Male,170.2,Basic,referral,True
USR_0120,2024-03-28,Nigeria,25-34,Male,163.6,Basic,organic search,True
USR_0121,2024-03-03,United Kingdom,45-54,Male,169.2,Free,referral,True
USR_0122,2024-01-11,Nigeria,,Male,171.1,Free,social media,False
USR_0123,2024-03-21,United Kingdom,,Male,179.7,Free,direct,False
USR_0124,2024-01-08,Nigeria,25-34,Male,178.2,Free,social media,True
USR_0125,2024-02-04,UAE,45-54,Male,179.9,Free,referral,True
USR_0126,2024-02-04,United Kingdom,35-44,Female,157.6,Basic,social media,True
USR_0127,2024-02-02,UAE,35-44,Male,175.0,Premium,organic search,True
USR_0128,2024-01-05,United Kingdom,35-44,Male,157.0,Free,social media,True
USR_0129,2024-04-12,Nigeria,35-44,,164.6,Basic,organic search,False
USR_0130,2024-02-10,UAE,,Male,178.3,Free,referral,False
USR_0131,2024-01-28,Nigeria,35-44,,159.9,Premium,direct,False
USR_0132,2024-01-07,Nigeria,35-44,Female,163.8,Premium,organic search,True
USR_0133,2024-03-13,Nigeria,18-24,Male,163.4,Premium,organic search,True
USR_0134,2024-03-12,United Kingdom,25-34,Female,157.2,Premium,organic search,True
USR_0135,2024-01-12,United Kingdom,35-44,Male,179.4,Free,social media,True
USR_0136,2024-02-03,Nigeria,35-44,Female,165.1,Premium,organic search,True
USR_0137,2024-02-02,UAE,45-54,Male,171.1,Basic,unknown,True
USR_0138,2024-02-17,Nigeria,35-44,Female,166.9,Free,unknown,True
USR_0139,2024-01-23,Nigeria,55+,,175.0,Premium,referral,False
USR_0140,2024-03-02,Nigeria,25-34,Female,159.0,Free,organic search,True
USR_0141,2024-03-28,Nigeria,25-34,Female,160.9,Basic,organic search,True
USR_0142,2024-02-06,Nigeria,25-34,Male,170.8,Free,paid ad,True
USR_0143,2024-04-08,United Kingdom,25-34,,165.7,Free,paid ad,False
USR_0144,2024-02-13,United Kingdom,45-54,Female,169.5,Basic,paid ad,True
USR_0145,2024-04-13,Nigeria,25-34,Female,158.6,Basic,social media,True
USR_0146,2024-03-26,Nigeria,35-44,Male,168.2,Free,social media,True
USR_0147,2024-03-31,Nigeria,25-34,Female,152.8,Free,organic search,True
USR_0148,2024-02-04,UAE,35-44,Prefer not to say,149.5,Premium,paid ad,True
USR_0149,2024-03-05,Nigeria,35-44,Female,166.2,Free,referral,True
USR_0150,2024-04-08,United Kingdom,25-34,Male,179.6,Free,paid ad,True
USR_0151,2024-04-10,UAE,35-44,Female,169.2,Premium,social media,True
USR_0152,2024-02-16,United Kingdom,25-34,Male,173.0,Premium,referral,True
USR_0153,2024-03-18,UAE,,Prefer not to say,165.7,Free,organic search,False
USR_0154,2024-01-03,Nigeria,25-34,Female,159.0,Basic,referral,True
USR_0155,2024-01-01,United Kingdom,18-24,,171.1,Premium,social media,False
USR_0156,2024-01-05,United Kingdom,25-34,Female,168.7,Premium,organic search,True
USR_0157,2024-03-30,United Kingdom,,Male,173.8,Basic,organic search,False
USR_0158,2024-01-14,Nigeria,35-44,Prefer not to say,170.6,Free,organic search,True
USR_0159,2024-04-12,Nigeria,35-44,Prefer not to say,164.9,Free,social media,True
USR_0160,2024-01-27,Nigeria,18-24,Female,169.9,Free,social media,True
USR_0161,2024-01-09,United Kingdom,35-44,Male,160.7,Basic,direct,True
USR_0162,2024-03-19,UAE,25-34,Female,154.7,Free,organic search,True
USR_0163,2024-01-15,United Kingdom,,Male,176.7,Basic,organic search,False
USR_0164,2024-03-30,Nigeria,45-54,Male,186.3,Free,social media,True
USR_0165,2024-02-11,UAE,18-24,Female,160.6,Free,referral,True
USR_0166,2024-03-17,Nigeria,35-44,Male,168.1,Premium,paid ad,True
USR_0167,2024-02-20,Nigeria,35-44,Male,181.0,Basic,referral,True
USR_0168,2024-03-03,Nigeria,25-34,Prefer not to say,170.3,Free,paid ad,True
USR_0169,2024-04-05,United Kingdom,25-34,Male,183.0,Premium,paid ad,True
USR_0170,2024-04-12,Nigeria,25-34,Male,165.0,Free,paid ad,True
USR_0171,2024-02-21,United Kingdom,45-54,Female,169.3,Basic,organic search,True
USR_0172,2024-04-05,UAE,25-34,Male,163.2,Basic,paid ad,True
USR_0173,2024-01-04,Nigeria,25-34,Female,160.3,Free,unknown,True
USR_0174,2024-04-03,United Kingdom,25-34,Prefer not to say,170.9,Premium,organic search,True
USR_0175,2024-04-10,Nigeria,35-44,Female,163.1,Basic,organic search,True
USR_0176,2024-01-23,Nigeria,18-24,Female,168.4,Basic,unknown,True
USR_0177,2024-04-12,Nigeria,25-34,Male,161.2,Free,organic search,True
USR_0178,2024-01-15,Nigeria,35-44,Male,175.0,Free,referral,True
USR_0179,2024-02-12,United Kingdom,55+,Female,169.2,Premium,referral,True
USR_0180,2024-01-29,Nigeria,25-34,Female,162.4,Free,paid ad,True
USR_0181,2024-02-05,United Kingdom,25-34,Female,155.1,Basic,paid ad,True
USR_0182,2024-01-13,United Kingdom,25-34,Male,181.1,Basic,organic search,True
USR_0183,2024-02-01,United Kingdom,35-44,Male,169.5,Basic,unknown,True
USR_0184,2024-03-11,United Kingdom,25-34,Male,168.2,Free,organic search,True
USR_0185,2024-02-28,United Kingdom,35-44,Female,156.3,Free,social media,True
USR_0186,2024-03-26,Nigeria,45-54,Male,172.6,Basic,referral,True
USR_0187,2024-01-28,Nigeria,35-44,Female,163.1,Free,organic search,True
USR_0188,2024-03-06,UAE,25-34,Female,154.4,Free,paid ad,True
USR_0189,2024-02-11,United Kingdom,45-54,Male,166.6,Free,organic search,True
USR_0190,2024-02-14,Nigeria,35-44,Female,157.8,Free,organic search,True
USR_0191,2024-03-02,Nigeria,,Male,167.3,Premium,organic search,False
USR_0192,2024-02-26,Nigeria,18-24,Female,162.2,Free,referral,True
USR_0193,2024-01-06,UAE,55+,Female,164.2,Free,social media,True
USR_0194,2024-01-28,Nigeria,18-24,Female,163.3,Free,referral,True
USR_0195,2024-01-28,Nigeria,25-34,Female,163.4,Basic,social media,True
USR_0196,2024-02-13,Nigeria,18-24,Male,185.7,Basic,paid ad,True
USR_0197,2024-03-24,Nigeria,35-44,Male,177.0,Free,organic search,True
USR_0198,2024-01-30,UAE,25-34,Female,166.7,Basic,paid ad,True
USR_0199,2024-03-02,Nigeria,25-34,Male,171.1,Basic,unknown,True
USR_0200,2024-03-15,UAE,18-24,Male,180.6,Premium,referral,True
USR_0201,2024-04-01,Nigeria,18-24,Male,170.8,Premium,referral,True
USR_0202,2024-03-29,UAE,35-44,Female,164.5,Free,organic search,True
USR_0203,2024-04-12,Nigeria,35-44,Male,164.4,Free,social media,True
USR_0204,2024-03-02,Nigeria,25-34,Female,163.0,Free,direct,True
USR_0205,2024-04-06,United Kingdom,25-34,Prefer not to say,161.2,Free,paid ad,True
USR_0206,2024-01-01,UAE,35-44,Male,180.6,Premium,referral,True
USR_0207,2024-01-27,UAE,18-24,Male,180.1,Free,organic search,True
USR_0208,2024-03-02,United Kingdom,25-34,Male,170.7,Free,referral,True
USR_0209,2024-03-17,UAE,55+,Female,174.3,Basic,unknown,True
USR_0210,2024-01-03,Nigeria,,Male,172.0,Basic,organic search,False
USR_0211,2024-04-12,UAE,25-34,Male,162.7,Free,social media,True
USR_0212,2024-03-10,Nigeria,35-44,Male,168.5,Free,organic search,True
USR_0213,2024-03-12,United Kingdom,25-34,Female,155.7,Free,direct,True
USR_0214,2024-01-27,UAE,35-44,Male,176.7,Basic,social media,True
USR_0215,2024-01-09,United Kingdom,18-24,Female,154.6,Free,organic search,True
USR_0216,2024-03-02,United Kingdom,18-24,Female,158.8,Free,social media,True
USR_0217,2024-02-06,Nigeria,18-24,Male,176.2,Basic,social media,True
USR_0218,2024-04-06,UAE,55+,Female,162.8,Free,social media,True
USR_0219,2024-02-20,Nigeria,35-44,Male,173.9,Basic,unknown,True
USR_0220,2024-02-13,UAE,25-34,Female,162.8,Basic,social media,True
USR_0221,2024-01-24,United Kingdom,25-34,Female,159.8,Free,paid ad,True
USR_0222,2024-03-19,Nigeria,35-44,Female,152.4,Premium,organic search,True
USR_0223,2024-02-28,United Kingdom,25-34,Male,171.2,Basic,organic search,True
USR_0224,2024-02-01,United Kingdom,25-34,Male,177.3,Free,paid ad,True
USR_0225,2024-04-05,United Kingdom,,Male,173.0,Basic,social media,False
USR_0226,2024-03-28,United Kingdom,25-34,Male,176.7,Basic,referral,True
USR_0227,2024-02-21,Nigeria,35-44,Male,169.9,Basic,direct,True
USR_0228,2024-03-02,United Kingdom,55+,Male,181.0,Free,paid ad,True
USR_0229,2024-02-27,UAE,25-34,Male,156.1,Premium,paid ad,True
USR_0230,2024-02-21,Nigeria,18-24,Male,175.0,Free,referral,True
USR_0231,2024-01-12,United Kingdom,25-34,Female,170.1,Free,organic search,True
USR_0232,2024-02-08,Nigeria,45-54,,184.5,Free,paid ad,False
USR_0233,2024-01-02,Nigeria,45-54,Male,172.4,Free,social media,True
USR_0234,2024-01-03,United Kingdom,35-44,Male,164.7,Premium,social media,True
USR_0235,2024-04-10,United Kingdom,18-24,Male,183.6,Free,social media,True
USR_0236,2024-02-25,Nigeria,45-54,Prefer not to say,167.6,Free,direct,True
USR_0237,2024-03-21,United Kingdom,45-54,Male,172.9,Premium,social media,True
USR_0238,2024-02-28,Nigeria,35-44,Female,156.6,Free,social media,True
USR_0239,2024-01-02,Nigeria,55+,Prefer not to say,159.3,Free,organic search,True
USR_0240,2024-01-02,Nigeria,45-54,Female,165.4,Free,social media,True
USR_0241,2024-04-01,Nigeria,35-44,Female,166.0,Free,direct,True
USR_0242,2024-02-23,Nigeria,35-44,Female,163.2,Free,organic search,True
USR_0243,2024-03-27,United Kingdom,25-34,Prefer not to say,162.7,Basic,social media,True
USR_0244,2024-04-10,United Kingdom,25-34,Female,155.6,Free,paid ad,True
USR_0245,2024-04-05,Nigeria,35-44,Female,153.4,Free,social media,True
USR_0246,2024-04-06,UAE,25-34,Female,158.6,Basic,organic search,True
USR_0247,2024-01-01,United Kingdom,45-54,Female,156.0,Basic,social media,True
USR_0248,2024-01-19,Nigeria,55+,,151.7,Free,organic search,False
USR_0249,2024-01-02,UAE,35-44,Male,178.6,Basic,direct,True
USR_0250,2024-02-22,UAE,18-24,Male,164.8,Free,organic search,True
USR_0251,2024-02-13,Nigeria,25-34,Male,180.9,Basic,organic search,True
USR_0252,2024-03-30,Nigeria,18-24,Male,176.8,Basic,unknown,True
USR_0253,2024-02-01,UAE,35-44,Male,176.1,Free,organic search,True
USR_0254,2024-03-10,United Kingdom,,Male,185.7,Premium,organic search,False
USR_0255,2024-02-01,Nigeria,45-54,Female,154.3,Free,paid ad,True
USR_0256,2024-03-08,United Kingdom,25-34,Male,180.1,Basic,paid ad,True
USR_0257,2024-02-24,UAE,45-54,Female,160.2,Free,organic search,True
USR_0258,2024-03-15,United Kingdom,45-54,Male,192.0,Basic,social media,True
USR_0259,2024-02-25,United Kingdom,25-34,Male,171.3,Basic,organic search,True
USR_0260,2024-01-17,UAE,45-54,Female,158.7,Premium,unknown,True
USR_0261,2024-02-07,Nigeria,25-34,Female,164.6,Free,referral,True
USR_0262,2024-01-24,Nigeria,25-34,Male,172.5,Basic,organic search,True
USR_0263,2024-03-09,United Kingdom,35-44,Female,157.4,Basic,organic search,True
USR_0264,2024-04-07,UAE,25-34,Female,156.2,Basic,social media,True
USR_0265,2024-03-10,Nigeria,35-44,Male,184.2,Basic,organic search,True
USR_0266,2024-03-26,United Kingdom,35-44,Male,165.9,Basic,organic search,True
USR_0267,2024-01-11,United Kingdom,35-44,Prefer not to say,169.6,Free,organic search,True
USR_0268,2024-01-16,Nigeria,25-34,Female,168.3,Free,organic search,True
USR_0269,2024-04-06,United Kingdom,35-44,Female,168.6,Basic,social media,True
USR_0270,2024-03-13,UAE,35-44,Female,158.4,Free,social media,True
USR_0271,2024-02-28,United Kingdom,35-44,Male,172.6,Premium,paid ad,True
USR_0272,2024-03-10,United Kingdom,25-34,Male,171.2,Basic,paid ad,True
USR_0273,2024-03-20,Nigeria,18-24,Male,163.3,Premium,referral,True
USR_0274,2024-04-02,United Kingdom,35-44,Female,165.2,Free,organic search,True
USR_0275,2024-01-03,Nigeria,25-34,Female,162.2,Premium,social media,True
USR_0276,2024-01-20,Nigeria,35-44,Female,170.6,Premium,referral,True
USR_0277,2024-02-28,United Kingdom,35-44,Male,168.2,Basic,social media,True
USR_0278,2024-02-05,Nigeria,35-44,Male,181.6,Basic,organic search,True
USR_0279,2024-01-19,Nigeria,35-44,Female,169.0,Free,paid ad,True
USR_0280,2024-03-30,United Kingdom,55+,Female,162.3,Premium,social media,True
USR_0281,2024-03-07,Nigeria,45-54,Female,149.0,Basic,organic search,True
USR_0282,2024-01-19,Nigeria,45-54,Male,170.4,Free,social media,True
USR_0283,2024-01-20,United Kingdom,45-54,Female,172.7,Free,social media,True
USR_0284,2024-04-05,United Kingdom,18-24,Male,176.1,Premium,organic search,True
USR_0285,2024-03-11,Nigeria,18-24,Prefer not to say,172.9,Premium,paid ad,True
USR_0286,2024-02-21,UAE,35-44,Male,173.4,Premium,organic search,True
USR_0287,2024-02-02,Nigeria,25-34,Female,160.7,Basic,organic search,True
USR_0288,2024-02-09,United Kingdom,25-34,Male,160.9,Free,unknown,True
USR_0289,2024-02-08,United Kingdom,25-34,Female,166.8,Free,referral,True
USR_0290,2024-03-22,UAE,35-44,Male,181.6,Free,organic search,True
USR_0291,2024-04-13,United Kingdom,35-44,Male,167.3,Free,organic search,True
USR_0292,2024-01-01,United Kingdom,35-44,Male,172.7,Free,social media,True
USR_0293,2024-01-11,United Kingdom,35-44,Male,171.8,Free,organic search,True
USR_0294,2024-04-01,Nigeria,45-54,Male,176.9,Free,paid ad,True
USR_0295,2024-02-26,Nigeria,25-34,Prefer not to say,164.2,Premium,referral,True
USR_0296,2024-03-29,United Kingdom,45-54,Male,180.5,Free,paid ad,True
USR_0297,2024-02-19,Nigeria,18-24,Female,162.4,Premium,social media,True
USR_0298,2024-01-23,United Kingdom,55+,Female,146.7,Basic,referral,True
USR_0299,2024-01-31,Nigeria,35-44,Female,164.7,Free,referral,True
USR_0300,2024-04-03,United Kingdom,25-34,Male,181.0,Free,unknown,True
USR_0301,2024-02-11,Nigeria,25-34,Male,165.9,Free,organic search,True
USR_0302,2024-04-08,Nigeria,25-34,,164.5,Free,organic search,False
USR_0303,2024-01-07,United Kingdom,25-34,Prefer not to say,180.8,Basic,social media,True
USR_0304,2024-01-16,United Kingdom,25-34,Male,174.8,Free,social media,True
USR_0305,2024-03-30,United Kingdom,35-44,Male,182.0,Free,organic search,True
USR_0306,2024-02-29,Nigeria,35-44,Male,170.9,Free,paid ad,True
USR_0307,2024-01-02,Nigeria,35-44,Prefer not to say,167.9,Premium,referral,True
USR_0308,2024-01-01,United Kingdom,45-54,Male,172.6,Basic,organic search,True
USR_0309,2024-02-17,Nigeria,35-44,Male,171.3,Basic,organic search,True
USR_0310,2024-01-12,United Kingdom,,Female,161.1,Free,organic search,False
USR_0311,2024-03-09,United Kingdom,18-24,Male,162.6,Basic,paid ad,True
USR_0312,2024-02-06,United Kingdom,35-44,Male,171.7,Basic,paid ad,True
USR_0313,2024-02-01,United Kingdom,,Female,170.0,Basic,unknown,False
USR_0314,2024-01-09,UAE,55+,Female,156.2,Premium,unknown,True
USR_0315,2024-04-08,UAE,45-54,Male,166.5,Free,organic search,True
USR_0316,2024-01-19,Nigeria,35-44,Male,174.4,Premium,unknown,True
USR_0317,2024-02-17,Nigeria,18-24,,174.8,Premium,direct,False
USR_0318,2024-03-20,Nigeria,45-54,Male,176.6,Free,referral,True
USR_0319,2024-01-03,Nigeria,45-54,Female,161.3,Basic,organic search,True
USR_0320,2024-01-20,United Kingdom,25-34,Male,174.5,Premium,organic search,True
USR_0321,2024-01-24,UAE,25-34,Male,171.5,Free,paid ad,True
USR_0322,2024-02-23,Nigeria,45-54,Male,165.1,Basic,direct,True
USR_0323,2024-02-02,Nigeria,25-34,Female,161.6,Premium,referral,True
USR_0324,2024-01-24,Nigeria,45-54,Female,166.3,Basic,organic search,True
USR_0325,2024-03-15,United Kingdom,25-34,Female,165.1,Free,unknown,True
USR_0326,2024-03-12,United Kingdom,18-24,Male,161.8,Basic,paid ad,True
USR_0327,2024-02-05,Nigeria,45-54,Female,163.5,Free,social media,True
USR_0328,2024-02-07,UAE,25-34,Female,156.6,Basic,referral,True
USR_0329,2024-04-13,United Kingdom,35-44,Male,183.7,Free,social media,True
USR_0330,2024-03-24,Nigeria,,Male,176.3,Basic,paid ad,False
USR_0331,2024-04-08,United Kingdom,18-24,Male,180.3,Basic,paid ad,True
USR_0332,2024-03-29,United Kingdom,,Male,174.1,Basic,organic search,False
USR_0333,2024-04-08,Nigeria,35-44,Male,173.5,Basic,unknown,True
USR_0334,2024-01-25,Nigeria,35-44,Male,184.5,Basic,referral,True
USR_0335,2024-04-02,Nigeria,45-54,Male,180.8,Basic,organic search,True
USR_0336,2024-01-18,Nigeria,35-44,Female,162.7,Free,paid ad,True
USR_0337,2024-03-22,UAE,25-34,Male,172.6,Basic,paid ad,True
USR_0338,2024-03-06,UAE,25-34,Female,151.8,Free,paid ad,True
USR_0339,2024-02-23,Nigeria,45-54,,163.9,Premium,direct,False
USR_0340,2024-02-04,Nigeria,35-44,Female,161.2,Free,social media,True
USR_0341,2024-03-20,Nigeria,35-44,Female,165.3,Free,referral,True
USR_0342,2024-03-01,Nigeria,25-34,,180.0,Basic,organic search,False
USR_0343,2024-02-10,UAE,25-34,Female,169.4,Basic,organic search,True
USR_0344,2024-04-09,Nigeria,,Male,176.4,Free,social media,False
USR_0345,2024-02-02,Nigeria,45-54,,166.7,Basic,social media,False
USR_0346,2024-03-08,Nigeria,35-44,Female,149.1,Basic,unknown,True
USR_0347,2024-02-02,United Kingdom,45-54,Male,168.2,Basic,direct,True
USR_0348,2024-01-14,Nigeria,35-44,Male,183.3,Free,organic search,True
USR_0349,2024-01-21,United Kingdom,18-24,Female,172.9,Basic,paid ad,True
USR_0350,2024-02-17,Nigeria,25-34,Female,160.6,Basic,social media,True
USR_0351,2024-01-20,United Kingdom,25-34,Female,153.2,Basic,social media,True
USR_0352,2024-01-08,United Kingdom,25-34,Male,169.5,Basic,referral,True
USR_0353,2024-01-07,Nigeria,45-54,Female,168.8,Basic,social media,True
USR_0354,2024-03-07,Nigeria,25-34,Male,169.9,Free,organic search,True
